0Total_Test_Accuracy: 0.8127|NR F1: 0.7474|FR F1: 0.8389|TR F1: 0.8676|UR F1: 0.7846
5Total_Test_Accuracy: 0.8132|NR F1: 0.7541|FR F1: 0.8358|TR F1: 0.8851|UR F1: 0.7658
10Total_Test_Accuracy: 0.8150|NR F1: 0.7612|FR F1: 0.8317|TR F1: 0.8894|UR F1: 0.7675
15Total_Test_Accuracy: 0.8199|NR F1: 0.7697|FR F1: 0.8363|TR F1: 0.8901|UR F1: 0.7722
20Total_Test_Accuracy: 0.8147|NR F1: 0.7644|FR F1: 0.8361|TR F1: 0.8886|UR F1: 0.7516
25Total_Test_Accuracy: 0.8209|NR F1: 0.7701|FR F1: 0.8359|TR F1: 0.8897|UR F1: 0.7844
30Total_Test_Accuracy: 0.8214|NR F1: 0.7712|FR F1: 0.8362|TR F1: 0.8875|UR F1: 0.7871
35Total_Test_Accuracy: 0.8250|NR F1: 0.7793|FR F1: 0.8423|TR F1: 0.8904|UR F1: 0.7856
40Total_Test_Accuracy: 0.8282|NR F1: 0.7746|FR F1: 0.8458|TR F1: 0.8955|UR F1: 0.7884
45Total_Test_Accuracy: 0.8282|NR F1: 0.7736|FR F1: 0.8458|TR F1: 0.8955|UR F1: 0.7892
50Total_Test_Accuracy: 0.8287|NR F1: 0.7741|FR F1: 0.8451|TR F1: 0.8955|UR F1: 0.7917
55Total_Test_Accuracy: 0.8292|NR F1: 0.7751|FR F1: 0.8451|TR F1: 0.8963|UR F1: 0.7917
60Total_Test_Accuracy: 0.8274|NR F1: 0.7751|FR F1: 0.8451|TR F1: 0.8890|UR F1: 0.7885
65Total_Test_Accuracy: 0.8284|NR F1: 0.7766|FR F1: 0.8464|TR F1: 0.8905|UR F1: 0.7885
70Total_Test_Accuracy: 0.8279|NR F1: 0.7766|FR F1: 0.8457|TR F1: 0.8905|UR F1: 0.7873
75Total_Test_Accuracy: 0.8313|NR F1: 0.7842|FR F1: 0.8436|TR F1: 0.8916|UR F1: 0.7939
80Total_Test_Accuracy: 0.8319|NR F1: 0.7853|FR F1: 0.8436|TR F1: 0.8916|UR F1: 0.7948
85Total_Test_Accuracy: 0.8319|NR F1: 0.7853|FR F1: 0.8436|TR F1: 0.8916|UR F1: 0.7948
90Total_Test_Accuracy: 0.8319|NR F1: 0.7853|FR F1: 0.8436|TR F1: 0.8916|UR F1: 0.7948
95Total_Test_Accuracy: 0.8319|NR F1: 0.7853|FR F1: 0.8436|TR F1: 0.8924|UR F1: 0.7939
100Total_Test_Accuracy: 0.8319|NR F1: 0.7853|FR F1: 0.8436|TR F1: 0.8924|UR F1: 0.7939
