1Total_Test_Accuracy: 0.8127|NR F1: 0.7474|FR F1: 0.8389|TR F1: 0.8676|UR F1: 0.7846
2Total_Test_Accuracy: 0.8246|NR F1: 0.7829|FR F1: 0.8447|TR F1: 0.8915|UR F1: 0.7603
3Total_Test_Accuracy: 0.8178|NR F1: 0.7779|FR F1: 0.8328|TR F1: 0.8867|UR F1: 0.7451
4Total_Test_Accuracy: 0.8178|NR F1: 0.7788|FR F1: 0.8312|TR F1: 0.8885|UR F1: 0.7441
5Total_Test_Accuracy: 0.8184|NR F1: 0.7792|FR F1: 0.8320|TR F1: 0.8895|UR F1: 0.7441
6Total_Test_Accuracy: 0.8184|NR F1: 0.7792|FR F1: 0.8320|TR F1: 0.8895|UR F1: 0.7441
7Total_Test_Accuracy: 0.8202|NR F1: 0.7792|FR F1: 0.8363|TR F1: 0.8895|UR F1: 0.7488
8Total_Test_Accuracy: 0.8312|NR F1: 0.7820|FR F1: 0.8370|TR F1: 0.8990|UR F1: 0.7973
9Total_Test_Accuracy: 0.8307|NR F1: 0.7814|FR F1: 0.8370|TR F1: 0.8990|UR F1: 0.7959
10Total_Test_Accuracy: 0.8307|NR F1: 0.7814|FR F1: 0.8370|TR F1: 0.8990|UR F1: 0.7959
11Total_Test_Accuracy: 0.8307|NR F1: 0.7814|FR F1: 0.8370|TR F1: 0.8990|UR F1: 0.7959
12Total_Test_Accuracy: 0.8312|NR F1: 0.7820|FR F1: 0.8370|TR F1: 0.8990|UR F1: 0.7973
13Total_Test_Accuracy: 0.8312|NR F1: 0.7820|FR F1: 0.8370|TR F1: 0.8990|UR F1: 0.7973
14Total_Test_Accuracy: 0.8307|NR F1: 0.7814|FR F1: 0.8370|TR F1: 0.8990|UR F1: 0.7959
15Total_Test_Accuracy: 0.8307|NR F1: 0.7814|FR F1: 0.8370|TR F1: 0.8990|UR F1: 0.7959
16Total_Test_Accuracy: 0.8307|NR F1: 0.7814|FR F1: 0.8370|TR F1: 0.8990|UR F1: 0.7959
17Total_Test_Accuracy: 0.8307|NR F1: 0.7814|FR F1: 0.8370|TR F1: 0.8990|UR F1: 0.7959
